ID	gene	Organism	Genus	Genus__colour	Source	Source__colour	Accesion/Region	Position	start	end	Strand	Class1	Class1__colour	Class2	Class2__colour	Class3	Class3__colour	Product	Similarity	completeness	distance	TCS	TCS_gene	Pfam
BGC0001423_APZ78760.1	cyclic_nucleotide-binding_protein	Myxococcus hansupus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001423	37989..39179	37989	39179	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide C	100			orphan	
BGC0001423_orf7	cyclic_nucleotide-binding_protein	Myxococcus hansupus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001423	37989..39179	37989	39179	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide C	100			orphan	
BGC0001428_APZ78813.1	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001428	41530..42720	41530	42720	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001428_orf8	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001428	41530..42720	41530	42720	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001425_APZ78773.1	cyclic_nucleotide-binding_protein	Myxococcus xanthus DK 1622	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001425	40983..42173	40983	42173	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001425_orf7	cyclic_nucleotide-binding_protein	Myxococcus xanthus DK 1622	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001425	40983..42173	40983	42173	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001426_APZ78786.1	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001426	40982..42172	40982	42172	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001426_orf7	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001426	40982..42172	40982	42172	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001427_APZ78799.1	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001427	41000..42190	41000	42190	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001427_orf7	cyclic_nucleotide-binding_protein	Myxococcus xanthus	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001427	41000..42190	41000	42190	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001424_AQM37588.1	cyclic_nucleotide-binding_protein	Myxococcus virescens	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001424	38452..39621	38452	39621	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide C	100			orphan	
BGC0001424_orf8	cyclic_nucleotide-binding_protein	Myxococcus virescens	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001424	38452..39621	38452	39621	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide C	100			orphan	
BGC0001422_APZ78747.1	cyclic_nucleotide-binding_protein	Myxococcus fulvus HW-1	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001422	39603..40772	39603	40772	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001422_orf8	cyclic_nucleotide-binding_protein	Myxococcus fulvus HW-1	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001422	39603..40772	39603	40772	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide A	100			orphan	
BGC0001281_XP_011392721.1	cAMP-dependent_protein_kinase_type_II_regulatory_chain	Ustilago maydis 521	Ustilago	#669900	MIBiG	#0676BE	BGC0001281	281919..283496	281919	283496	+	Polyketide	#F4A460					ustilagic acid	100			orphan	
BGC0001902_AJY78081.1	putative_regulator	Myxococcus virescens	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001902	2279..2959	2279	2959	+	NRP	#2E8B57	Polyketide	#F4A460			bengamide	100			orphan	
fig|6666666.590939.peg.6073	cds84338_84797	Streptomyces rochei CC48	Streptomyces	#3333FF	CuatroCienegas	#66FF66	280.1	725..1183	725	1183	-	Terpene	#800080					isorenieratene	85	complete	910	orphan	
fig|6666666.883177.peg.335	cds124677_125079	Streptomyces sp. SS52	Streptomyces	#3333FF			1.2	23476..23877	23476	23877	+	Terpene	#800080					isorenieratene	54	complete	873	orphan	
BGC0000269_ADE34523.1	hypothetical_protein	Streptomyces sp. SF2575	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000269	51841..52236	51841	52236	-	Polyketide	#F4A460	Saccharide	#FF7D25			SF2575	100			orphan	
BGC0000657_AEK21531.1	cyclic_nucleotide-binding_protein	Pseudanabaena sp. dqh15	Pseudanabaena	#FFFFFF	MIBiG	#0676BE	BGC0000657	644..2044	644	2044	+	Terpene	#800080					2-methylisoborneol	100			orphan	
BGC0000657_AEK21534.1	cyclic_nucleotide-binding_protein	Pseudanabaena sp. dqh15	Pseudanabaena	#FFFFFF	MIBiG	#0676BE	BGC0000657	4377..5774	4377	5774	+	Terpene	#800080					2-methylisoborneol	100			orphan	
fig|56099.17.peg.7170	cds690302_691703	Lentzea sp. cc55	Lentzea	#D60093	CuatroCienegas	#66FF66	26.5	12091..13491	12091	13491	+	Terpene	#800080					geosmin	100	complete	1153	orphan	
BGC0000661_ACC81291.1	cyclic_nucleotide-binding_protein	Nostoc punctiforme PCC 73102	Nostoc	#9900FF	MIBiG	#0676BE	BGC0000661	1..1410	1	1410	-	Terpene	#800080					geosmin	100			orphan	
BGC0000661_ACC81292.1	cyclic_nucleotide-binding_protein	Nostoc punctiforme PCC 73102	Nostoc	#9900FF	MIBiG	#0676BE	BGC0000661	1645..3054	1645	3054	-	Terpene	#800080					geosmin	100			orphan	
fig|6666666.540754.peg.7364	cds155951_157385	Streptomyces sp. CC224E	Streptomyces	#3333FF	CuatroCienegas	#66FF66	11.1	38630..40063	38630	40063	-	Polyketide	#F4A460	Terpene	#800080			2-methylisoborneol	100	complete	1895	orphan	
fig|6666666.737891.peg.1684	cds159253_160687	Streptomyces sp. KL109B	Streptomyces	#3333FF	Calakmul	#FFFF00	1.1	8520..9953	8520	9953	+	Polyketide	#F4A460	Terpene	#800080			2-methylisoborneol	100	complete	1895	orphan	
fig|1883.2474.peg.3339	cds65428_66841	Streptomyces sp KL116D	Streptomyces	#3333FF	Calakmul	#FFFF00	49.1	11361..12773	11361	12773	-	Terpene	#800080					2-methylisoborneol	100	complete	680	orphan	
fig|6666666.563202.peg.297	cds16383_17796	Streptomyces sp. CC224B	Streptomyces	#3333FF	CuatroCienegas	#66FF66	197.1	11309..12721	11309	12721	-	Terpene	#800080					ebelactone	5	complete	674	orphan	
fig|6666666.737893.peg.1297	cds117715_119125	Streptomyces sp. KL118A	Streptomyces	#3333FF	Calakmul	#FFFF00	12.2	11254..12663	11254	12663	-	Terpene	#800080					ebelactone	8	complete	723	orphan	
fig|6666666.871048.peg.6311	cds469163_470576	Streptomyces sp. KL122B	Streptomyces	#3333FF	Calakmul	#FFFF00	9.4	11625..13037	11625	13037	-	Terpene	#800080					2-methylisoborneol	100	complete	842	orphan	
fig|6666666.582862.peg.10026	cds59329_60751	Streptomyces sp. CC219Ahyb	Streptomyces	#3333FF	CuatroCienegas	#66FF66	340.1	46247..47668	46247	47668	-	Polyketide	#F4A460	Terpene	#800080			ebelactone	5	complete	1419	orphan	
fig|6666666.871044.peg.2266	cds2242118_2243540	Streptomyces sp. CC210A	Streptomyces	#3333FF	CuatroCienegas	#66FF66	5.7	23280..24701	23280	24701	+	Alkaloid	#FEF739	Polyketide	#F4A460	Terpene	#800080	anisomycin	84	complete	1263	orphan	
fig|6666666.871047.peg.2291	cds58225_59635	Streptomyces sp. KL111A	Streptomyces	#3333FF	Calakmul	#FFFF00	36.1	10919..12328	10919	12328	-	Terpene	#800080					ebelactone	5	complete	793	orphan	
fig|6666666.540228.peg.6494	cds23522_24932	Streptomyces sp. KL110B	Streptomyces	#3333FF	Calakmul	#FFFF00	136.1	11295..12704	11295	12704	-	Terpene	#800080					ebelactone	5	complete	718	orphan	
fig|6666666.737887.peg.3929	cds93563_94973	Streptomyces sp CC208A	Streptomyces	#3333FF	CuatroCienegas	#66FF66	52.1	8535..9944	8535	9944	+	Terpene	#800080					ebelactone	5	complete	770	orphan	
fig|1883.2475.peg.3645	cds174184_175594	Streptomyces sp. KL114A	Streptomyces	#3333FF	Calakmul	#FFFF00	120.2	48690..50099	48690	50099	-	Polyketide	#F4A460					geosmin	66	complete	1237	orphan	
fig|6666666.737673.peg.7866	cds174311_175721	Streptomyces lydicus KL114A	Streptomyces	#3333FF	Calakmul	#FFFF00	46.2	48690..50099	48690	50099	-	Polyketide	#F4A460					geosmin	66	complete	1237	orphan	
fig|56099.17.peg.7167	cds686776_688192	Lentzea sp. cc55	Lentzea	#D60093	CuatroCienegas	#66FF66	26.5	8565..9980	8565	9980	+	Terpene	#800080					geosmin	100	complete	1153	orphan	
fig|1883.2475.peg.3644	cds172654_174070	Streptomyces sp. KL114A	Streptomyces	#3333FF	Calakmul	#FFFF00	120.2	47160..48575	47160	48575	-	Polyketide	#F4A460					geosmin	66	complete	1237	orphan	
fig|6666666.737673.peg.7865	cds172781_174197	Streptomyces lydicus KL114A	Streptomyces	#3333FF	Calakmul	#FFFF00	46.2	47160..48575	47160	48575	-	Polyketide	#F4A460					geosmin	66	complete	1237	orphan	
BGC0000761_BAC55132.1	EpsK	Methylobacillus sp. 12S	Methylobacillus	#FFFFFF	MIBiG	#0676BE	BGC0000761	5962..6345	5962	6345	+	Saccharide	#FF7D25					exopolysaccharide	100			orphan	
fig|6666666.590942.peg.3483	cds97422_98142	Actinokineospora sp.	Actinokineospora	#FFFFFF			131.1	14244..14963	14244	14963	+	Polyketide	#F4A460					saquayamycin A	25	complete	2257	orphan	
fig|6666666.590942.peg.3227	cds21776_22454	Actinokineospora sp.	Actinokineospora	#FFFFFF			20.1	19472..20149	19472	20149	-	NRP	#2E8B57					dynemicin A	3	complete	752	orphan	
