ID	gene	Organism	Genus	Genus__colour	Source	Source__colour	Accesion/Region	Position	start	end	Strand	Class1	Class1__colour	Class2	Class2__colour	Class3	Class3__colour	Product	Similarity	completeness	distance	TCS	TCS_gene	Pfam
BGC0000188_ABI75118.1	histidine_kinase	Cylindrospermopsis raciborskii T3	Cylindrospermopsis	#006666	MIBiG	#0676BE	BGC0000188	33325..34677	33325	34677	-	Alkaloid	#FEF739					saxitoxin/neosaxitoxin/decarbamoylsaxitoxin/gonyautoxin 3/gonyautoxin 2	100			tcs	BGC0000188_ABI75119.1	PF00486.31
BGC0000195_ACI88886.1	AlnR7_two_component_sensory_kinase	Streptomyces sp. CM020	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000195	27087..28232	27087	28232	-	Polyketide	#F4A460					alnumycin A/alnumycin B/alnumycin C/alnumycin P/prealnumycin/thalnumycin A/thalnumycin B/K1115A/1,6-dihydro-8-propylanthraquinone	100			tcs	BGC0000195_ACI88885.1	PF00196.22
BGC0000197_ABL09962.1	signal_transduction_histidine_kinase	Streptomyces echinatus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000197	18737..19957	18737	19957	-	Polyketide	#F4A460	Saccharide	#FF7D25			aranciamycin	100			orphan	
BGC0000200_AHX24717.1	two-component_system_histidine_kinase	uncultured bacterium	uncultured	#660066	MIBiG	#0676BE	BGC0000200	27940..29121	27940	29121	-	Polyketide	#F4A460	Saccharide	#FF7D25			arixanthomycin A/arixanthomycin B/arixanthomycin C	100			tcs	BGC0000200_AHX24716.1	PF00196.22
BGC0000202_ADB02832.1	AzicR1	Kibdelosporangium sp. MJ126-NF4	Kibdelosporangium	#009999	MIBiG	#0676BE	BGC0000202	1158..2372	1158	2372	-	Polyketide	#F4A460					azicemicin B	100			tcs	BGC0000202_ADB02831.1	PF00196.22
BGC0000202_ADB02869.1	AzicR4	Kibdelosporangium sp. MJ126-NF4	Kibdelosporangium	#009999	MIBiG	#0676BE	BGC0000202	34613..35755	34613	35755	-	Polyketide	#F4A460					azicemicin B	100			orphan	
BGC0000223_AEE65496.1	PAS/PAC_sensor_signal_transduction_histidine_kinase	uncultured bacterium BAC AB649/1850	uncultured	#660066	MIBiG	#0676BE	BGC0000223	44467..46689	44467	46689	-	Polyketide	#F4A460					rabelomycin/dehydrorabelomycin/fluostatin F/fluostatin G/fluostatin H	100			orphan	
BGC0000227_CAA09632.1	putative_two-component_sensory_kinase	Streptomyces violaceoruber	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000227	5125..6345	5125	6345	-	Polyketide	#F4A460					granaticin	100			tcs	BGC0000227_CAA09631.1	PF00196.22 PF08279.15
BGC0000260_ABB69090.1	hypothetical_protein	Hahella chejuensis KCTC 2396	Hahella	#993300	MIBiG	#0676BE	BGC0000260	27922..29526	27922	29526	-	Polyketide	#F4A460					prodigiosin	100			tcs	BGC0000260_ABB69091.1	PF00486.31
BGC0000289_CAD91217.1	putative_sensory_kinase	Nonomuraea gerenzanensis	Nonomuraea	#663300	MIBiG	#0676BE	BGC0000289	49070..50332	49070	50332	-	NRP	#2E8B57	Saccharide	#FF7D25			A40926	100			orphan	
BGC0000290_AAM80542.1	VanSst	Streptomyces toyocaensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000290	44339..45442	44339	45442	+	NRP	#2E8B57					A-47934	100			tcs	BGC0000290_AAM80541.1	PF00486.31
BGC0000291_AAZ23060.1	probable_sensor_kinase	Streptomyces fradiae	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000291	25222..26619	25222	26619	-	NRP	#2E8B57					A54145	100			tcs	BGC0000291_AAZ23059.1	PF00196.22
BGC0000291_AAZ23071.1	possible_sensor_kinase	Streptomyces fradiae	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000291	38955..39803	38955	39803	-	NRP	#2E8B57					A54145	100			tcs	BGC0000291_AAZ23070.1	PF00196.22 PF08279.15
BGC0000310_AAD21212.2	BacS	Bacillus licheniformis	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000310	45191..46237	45191	46237	+	NRP	#2E8B57					bacitracin	100			orphan	
BGC0000315_CAB38596.1	two_component_sensor_kinase_(absA1)	Streptomyces coelicolor A3(2)	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000315	17497..19212	17497	19212	+	NRP	#2E8B57					CDA1b/CDA2a/CDA2b/CDA3a/CDA3b/CDA4a/CDA4b	100			tcs	BGC0000315_CAB38597.1	PF00196.22
BGC0000341_ABD65962.1	two-component_system_sensor_kinase	Streptomyces fungicidicus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000341	107274..108386	107274	108386	-	NRP	#2E8B57					enduracidin	100			tcs	BGC0000341_ABD65961.1	PF00196.22
BGC0000344_CAK15821.1	putative_sensory_box_histidine_kinase/response_regulator_(hybrid)	Pseudomonas entomophila L48	Pseudomonas	#FF3300	MIBiG	#0676BE	BGC0000344	53266..55245	53266	55245	-	NRP	#2E8B57					entolysin	100			orphan	
BGC0000354_CAM56777.1	regulatory_protein_D	Actinoplanes friuliensis	Actinoplanes	#CCFF99	MIBiG	#0676BE	BGC0000354	62818..64197	62818	64197	-	NRP	#2E8B57					friulimicin A/friulimicin B/friulimicin C/friulimicin D	100			tcs	BGC0000354_CAM56776.1	PF00196.22
BGC0000379_AEF16032.1	regulatory_protein_D	Streptomyces viridochromogenes	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000379	75613..76899	75613	76899	-	NRP	#2E8B57					glycinocin A	100			tcs	BGC0000379_AEF16031.1	PF00196.22
BGC0000413_AAY93436.1	sensor_histidine_kinase	Pseudomonas protegens Pf-5	Pseudomonas	#FF3300	MIBiG	#0676BE	BGC0000413	150683..152008	150683	152008	-	NRP	#2E8B57					pyoverdin	100			tcs	BGC0000413_AAY93437.1	PF00486.31
BGC0000440_CAE53347.1	transmamebrane_sensor_kinase	Actinoplanes teichomyceticus	Actinoplanes	#CCFF99	MIBiG	#0676BE	BGC0000440	16311..17402	16311	17402	-	NRP	#2E8B57					teicoplanin	100			tcs	BGC0000440_CAE53348.1	PF00486.31
BGC0000441_CAG15006.1	transcriptional_regulator	Actinoplanes teichomyceticus	Actinoplanes	#CCFF99	MIBiG	#0676BE	BGC0000441	9704..10795	9704	10795	-	NRP	#2E8B57					teicoplanin	100			tcs	BGC0000441_CAG15007.1	PF00486.31
BGC0000445_CAJ34390.1	putative_histidine_kinase	Micromonospora sp. ML1	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0000445	60960..62243	60960	62243	+	NRP	#2E8B57					thiocoraline	100			tcs	BGC0000445_CAJ34389.1	PF00486.31
BGC0000502_AHJ59540.1	histidine_kinase_protein	Bacillus cereus	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000502	7576..9891	7576	9891	+	RiPP	#4169E1					cerecidin/cerecidin A1/cerecidin A2/cerecidin A3/cerecidin A4/cerecidin A5/cerecidin A6/cerecidin A7	100			tcs	BGC0000502_AHJ59541.1	PF00196.22
BGC0000503_CAD60530.1	CinK_protein	Streptomyces cinnamoneus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000503	11758..12822	11758	12822	-	RiPP	#4169E1					cinnamycin	100			tcs	BGC0000503_CAD60529.1	PF00196.22
BGC0000506_AEK64500.1	EtnK	Bacillus subtilis subsp. spizizenii	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000506	10846..12234	10846	12234	+	RiPP	#4169E1					entianin	100			tcs	BGC0000506_AEK64499.1	PF00486.31
BGC0000511_AAL15574.1	putative_histidine_kinase	Bacillus subtilis	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000511	11449..12840	11449	12840	+	RiPP	#4169E1					ericin S	100			tcs	BGC0000511_AAL15573.1	PF00486.31
BGC0000515_ABO65654.1	Sensory_transduction_protein_kinase_SpaK	Geobacillus thermodenitrificans NG80-2	Geobacillus	#FFCC99	MIBiG	#0676BE	BGC0000515	8386..9804	8386	9804	+	RiPP	#4169E1					geobacillin I	100			tcs	BGC0000515_ABO65653.1	PF00486.31
BGC0000516_EDY04302.1	integral_membrane_sensor_signal_transduction_histidine_kinase	Geobacillus thermodenitrificans	Geobacillus	#FFCC99	MIBiG	#0676BE	BGC0000516	7544..9808	7544	9808	-	RiPP	#4169E1					geobacillin II	100			tcs	BGC0000516_EDY04301.1	PF00196.22
BGC0000526_ABI30223.1	McdK	Streptococcus macedonicus	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000526	1946..3307	1946	3307	-	RiPP	#4169E1					macedocin	100			tcs	BGC0000526_ABI30224.1	PF00196.22 PF00486.31
BGC0000527_CAB60253.1	MrsK2_protein	Bacillus sp. HIL-Y85/54728	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000527	1..1440	1	1440	-	RiPP	#4169E1					mersacidin	100			tcs	BGC0000527_CAB60254.1	PF00486.31
BGC0000528_CAN02022.1	putative_two-component_system,_sensor_kinase	Clavibacter michiganensis subsp. michiganensis NCPPB 382	Clavibacter	#FFFFFF	MIBiG	#0676BE	BGC0000528	3226..4362	3226	4362	-	RiPP	#4169E1					michiganin A	100			tcs	BGC0000528_CAN02021.1	PF00196.22
BGC0000535_ADJ56359.1	NisK	Lactococcus lactis subsp. lactis	Lactococcus	#6600FF	MIBiG	#0676BE	BGC0000535	10672..12015	10672	12015	+	RiPP	#4169E1					nisin A	100			tcs	BGC0000535_ADJ56358.1	PF00486.31
BGC0000536_BAG71486.1	histidine_kinase	Lactococcus lactis	Lactococcus	#6600FF	MIBiG	#0676BE	BGC0000536	10049..11392	10049	11392	+	RiPP	#4169E1					nisin Q	100			tcs	BGC0000536_BAG71485.1	PF00486.31
BGC0000537_ABA00874.1	NsuK	Streptococcus uberis	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000537	2686..4032	2686	4032	+	RiPP	#4169E1					nisin U	100			tcs	BGC0000537_ABA00873.1	PF00486.31
BGC0000545_CAB93670.1	RumK_protein	[Ruminococcus] gnavus E1	Ruminococcus	#FF6600	MIBiG	#0676BE	BGC0000545	4380..5759	4380	5759	+	RiPP	#4169E1					ruminococcin A	100			tcs	BGC0000545_CAB93669.1	PF00486.31
BGC0000547_ACX68641.1	SivK	Streptococcus salivarius	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000547	9198..10565	9198	10565	-	RiPP	#4169E1					salivaricin 9	100			tcs	BGC0000547_ACX68642.1	PF00486.31
BGC0000549_AEX55158.1	putative_sensor_histidine_kinase_SlvK	Streptococcus salivarius	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000549	4383..5720	4383	5720	-	RiPP	#4169E1					salivaricin D	100			tcs	BGC0000549_AEX55159.1	PF00486.31
BGC0000556_BAB08161.1	SrtK	Streptococcus pyogenes	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000556	1400..2746	1400	2746	+	RiPP	#4169E1					streptin	100			tcs	BGC0000556_BAB08160.1	PF00486.31
BGC0000557_AAB92598.1	ScnK	Streptococcus pyogenes	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000557	244..1605	244	1605	-	RiPP	#4169E1					streptococcin A-FF22	100			tcs	BGC0000557_AAB92599.1	PF00196.22 PF00486.31
BGC0000559_AAB91593.1	SpaK	Bacillus subtilis subsp. spizizenii ATCC 6633	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000559	10970..12349	10970	12349	+	RiPP	#4169E1					subtilin	100			tcs	BGC0000559_AAB91594.1	PF00486.31
BGC0000668_AHI58828.1	putative_two_component_response_regulator	Hapalosiphon welwitschii UTEX B 1830	Hapalosiphon	#CCECFF	MIBiG	#0676BE	BGC0000668	15577..16668	15577	16668	+	Alkaloid	#FEF739	Terpene	#800080			12-epi-hapalindole C isonitrile/12-epi-hapalindole E/12-epi-fischerindole U isonitrile/fischerindole L/12-epi-fischerindole I isonitrile/welwitindolinone A isonitrile/welwitindolinone B isothiocyanate/welwitindolinone C isothiocyanate/N-methylwelwitindolinone C isothiocyanate/N-methylwelwitinsolinone C isonitrile/3-epi-welwitindolinone B isothiocyanate/3-(Z-2'-isocyanoethenyl)-indole	100			orphan	
BGC0000679_EWM63042.1	two-component_system_sensor_kinase	Micromonospora sp. M42	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0000679	16593..17693	16593	17693	+	Terpene	#800080					diazepinomicin	100			tcs	BGC0000679_EWM63043.1	PF00196.22
BGC0000696_CAF31456.2	putative_two-component_system_histidine_kinase	Micromonospora echinospora	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0000696	60531..61847	60531	61847	-	Saccharide	#FF7D25					gentamicin	100			tcs	BGC0000696_CAF31457.2	PF00196.22 PF00486.31
BGC0000700_CAH60131.1	putative_two-component_system_sensor_kinase	Streptomyces tenjimariensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000700	4693..6027	4693	6027	+	Saccharide	#FF7D25					istamycin	100			tcs	BGC0000700_CAH60130.1	PF00486.31
BGC0000714_ACN38368.1	putative_two-component_system_histidine_kinase	Micromonospora inyonensis	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0000714	42176..43483	42176	43483	-	Saccharide	#FF7D25					sisomicin	100			tcs	BGC0000714_ACN38369.1	PF00196.22 PF00486.31
BGC0000802_CAA12536.1	ExsG_protein	Sinorhizobium meliloti	Sinorhizobium	#FF9933	MIBiG	#0676BE	BGC0000802	7857..10580	7857	10580	-	Saccharide	#FF7D25					succinoglycan	100			orphan	
BGC0000814_ACN29724.1	two-component_system_sensor_kinase	Nonomuraea longicatena	Nonomuraea	#663300	MIBiG	#0676BE	BGC0000814	32335..33846	32335	33846	-	Alkaloid	#FEF739					K-252a	100			tcs	BGC0000814_ACN29723.1	PF00196.22
BGC0000842_AGU42431.1	Cmm23	Streptomyces argenteolus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000842	30019..31545	30019	31545	+	Other	#191970					carbapenem MM4550	100			tcs	BGC0000842_AGU42430.1	PF00486.31
BGC0000845_EDY47142.1	histidine_kinase	Streptomyces clavuligerus ATCC 27064	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000845	29665..31215	29665	31215	-	Other	#191970					clavulanic acid	100			tcs	BGC0000845_EDY47143.1	PF00486.31
BGC0000874_AAP03102.1	putative_2-component_system_sensor_kinase	Streptomyces griseochromogenes	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000874	1149..2327	1149	2327	+	Other	#191970					blasticidin S	100			tcs	BGC0000874_AAP03103.1	PF00196.22
BGC0000926_ADB43065.1	putative_sensor_histidine_kinase	Bacillus subtilis subsp. spizizenii ATCC 6633	Bacillus	#00FFCC	MIBiG	#0676BE	BGC0000926	12760..13728	12760	13728	+	Other	#191970					rhizocticin A	100			tcs	BGC0000926_ADB43064.1	PF00486.31
BGC0000928_ABI75118.1	histidine_kinase	Cylindrospermopsis raciborskii T3	Cylindrospermopsis	#006666	MIBiG	#0676BE	BGC0000928	33325..34677	33325	34677	-	Other	#191970					T3 toxin	100			tcs	BGC0000928_ABI75119.1	PF00486.31
BGC0000983_EAW09112.1	sensor_histidine_kinase/response_regulator,_putative	Aspergillus clavatus NRRL 1	Aspergillus	#CC00FF	MIBiG	#0676BE	BGC0000983	1..3980	1	3980	+	NRP	#2E8B57	Polyketide	#F4A460			cytochalasin E/cytochalasin K	100			orphan	
BGC0000997_CAL80818.1	two-component_hybrid_sensor/regulator	[Polyangium] brachysporum	Polyangium	#FF5050	MIBiG	#0676BE	BGC0000997	5753..7873	5753	7873	+	NRP	#2E8B57	Polyketide	#F4A460			glidobactin	100			orphan	
BGC0000998_AFU82609.1	2_component_system_sensor_kinase	Streptomyces sp. K01-0509	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000998	5453..6538	5453	6538	+	NRP	#2E8B57	Polyketide	#F4A460			guadinomine	100			tcs	BGC0000998_AFU82608.1	PF00196.22
BGC0001003_ABB05091.1	LipReg2	Kitasatospora aureofaciens	Kitasatospora	#FF9900	MIBiG	#0676BE	BGC0001003	760..2019	760	2019	-	NRP	#2E8B57	Polyketide	#F4A460	Saccharide	#FF7D25	?-lipomycin	100			tcs	BGC0001003_ABB05090.1	PF00196.22
BGC0001040_CAA60456.1	sensory_protein_kinase	Streptomyces rapamycinicus NRRL 5491	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001040	7356..8555	7356	8555	+	NRP	#2E8B57	Polyketide	#F4A460			rapamycin	100			tcs	BGC0001040_CAA60455.1	PF00486.31
BGC0001093_AAY32961.1	putative_sensory_box_histidine_kinase	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0001093	8928..11939	8928	11939	-	NRP	#2E8B57	Polyketide	#F4A460			disorazol A	100			tcs	BGC0001093_AAY32960.1	PF00158.29 PF02954.22 PF08279.15
BGC0001178_AGS77301.1	Integral_membrane_sensor_kinase	Actinoplanes sp. ATCC 53533	Actinoplanes	#CCFF99	MIBiG	#0676BE	BGC0001178	1135..2268	1135	2268	-	NRP	#2E8B57					UK-68,597	100			orphan	
BGC0001196_AJW76715.1	DsaM	Streptomyces scopuliridis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001196	35916..37127	35916	37127	+	NRP	#2E8B57					desotamide	100			tcs	BGC0001196_AJW76716.1	PF00196.22
BGC0001233_ALK27910.1	putative_histidine_kinase	Streptomyces sp. DSM 11171	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001233	17050..18306	17050	18306	-	NRP	#2E8B57					feglymycin	100			tcs	BGC0001233_ALK27911.1	PF00486.31
BGC0001288_BAQ25485.1	two-component_system_sensor_kinase	Micromonospora sp. GMKU326	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0001288	45940..47490	45940	47490	-	Polyketide	#F4A460					maklamicin	100			tcs	BGC0001288_BAQ25486.1	PF00486.31
BGC0001297_ALG65335.1	Cal1	Streptomyces calvus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001297	54161..55402	54161	55402	-	NRP	#2E8B57					WS9326	100			tcs	BGC0001297_ALG65334.1	PF00196.22 PF08279.15
BGC0001303_ALA09380.1	sensor_histidine_kinase	Micromonospora sp. RL09-050-HVF-A	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0001303	101255..102580	101255	102580	-	Polyketide	#F4A460					lobosamide A/lobosamide B/lobosamide C	100			tcs	BGC0001303_ALA09379.1	PF00196.22
BGC0001370_ALV82363.1	two_component_sensor_kinase	Streptomyces rochei	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001370	10046..11761	10046	11761	+	NRP	#2E8B57					lipopeptide 8D1-1/lipopeptide 8D1-2	100			orphan	
BGC0001380_ALI93253.1	transcriptional_regulator	Agrobacterium sp. ZX09	Agrobacterium	#9933FF	MIBiG	#0676BE	BGC0001380	16503..19466	16503	19466	-	Saccharide	#FF7D25					salecan	100			orphan	
BGC0001417_APZ78674.1	two-component_sensor_histidine_kinase	Cystobacterineae bacterium	Cystobacterineae	#3366CC	MIBiG	#0676BE	BGC0001417	1..1521	1	1521	+	NRP	#2E8B57	Polyketide	#F4A460			myxochromide D	100			orphan	
BGC0001417_orf1	two-component_sensor_histidine_kinase	Cystobacterineae bacterium	Cystobacterineae	#3366CC	MIBiG	#0676BE	BGC0001417	1..1521	1	1521	+	NRP	#2E8B57	Polyketide	#F4A460			myxochromide D	100			orphan	
BGC0001447_EHK80176.1	two-component_histidine_kinase	Saccharomonospora azurea SZMC 14600	Saccharomonospora	#339933	MIBiG	#0676BE	BGC0001447	107806..109002	107806	109002	+	Polyketide	#F4A460					primycin	100			tcs	BGC0001447_EHK80177.1	PF00196.22
BGC0001469_RAT94095.1	sensor_histidine_kinase	Brevibacillus sp. Leaf182	Brevibacillus	#6600CC	MIBiG	#0676BE	BGC0001469	28616..30052	28616	30052	-	NRP	#2E8B57					marthiapeptide A	100			orphan	
BGC0001477_AVV61975.1	putative_signal_transduction_histidine_kinase	Streptomyces sp. ID38640	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001477	4355..6253	4355	6253	+	NRP	#2E8B57	Polyketide	#F4A460			lydicamycin	100			tcs	BGC0001477_AVV61976.1	PF00196.22
BGC0001496_EWC60879.1	two-component_system_sensor_kinase	Actinokineospora spheciospongiae	Actinokineospora	#FFFFFF	MIBiG	#0676BE	BGC0001496	8258..9037	8258	9037	+	RiPP	#4169E1					actinokineosin	100			tcs	BGC0001497_ATJ33995.1	PF00325.23 PF00440.26
BGC0001522_AWR88438.1	putative_sensor_histidine_kinase	Streptomyces filamentosus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001522	120086..121318	120086	121318	+	Polyketide	#F4A460					auroramycin	100			tcs	BGC0001522_AWR88437.1	PF00486.31
BGC0001558_WP_018891765.1	response_regulator	Streptomyces sp. CNT302	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001558	50151..53195	50151	53195	-	Polyketide	#F4A460					cosmomycin C	100			orphan	
BGC0001561_KUM69047.1	histidine_kinase	Streptomyces curacoi	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001561	5853..7064	5853	7064	-	NRP	#2E8B57					curacomycin	100			orphan	
BGC0001569_ANZ15845.1	integral_membrane_sensor_signal_transduction_histidine_kinase	Streptomyces noursei ATCC 11455	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001569	37581..38792	37581	38792	+	NRP	#2E8B57					dechlorocuracomycin	100			tcs	BGC0001569_ANZ15846.1	PF00196.22
BGC0001580_SCN11968.1	putative_two-component_system_sensor_kinase	Kitasatospora aburaviensis	Kitasatospora	#FF9900	MIBiG	#0676BE	BGC0001580	66509..68203	66509	68203	+	Polyketide	#F4A460					ebelactone	100			tcs	BGC0001580_SCN11969.1	PF00196.22
BGC0001590_AQP25559.1	sensor_histidine_kinase	Streptomyces sp. KY5	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001590	16976..18067	16976	18067	+	Polyketide	#F4A460					formicamycins A-M	100			tcs	BGC0001590_AQP25560.1	PF00196.22
BGC0001590_AQP25577.1	sensor_histidine_kinase	Streptomyces sp. KY5	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001590	32684..33937	32684	33937	-	Polyketide	#F4A460					formicamycins A-M	100			tcs	BGC0001590_AQP25576.1	PF00196.22
BGC0001598_AOE23568.1	FoxRII	Streptomyces diastatochromogenes	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001598	10414..11667	10414	11667	+	NRP	#2E8B57	Polyketide	#F4A460			foxicins A-D	100			tcs	BGC0001598_AOE23567.1	PF00440.26
BGC0001603_ARV75733.1	putative_two-component_system_histidine_kinase	Micromonospora echinospora	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0001603	44450..45766	44450	45766	-	Saccharide	#FF7D25					gentamicin	100			tcs	BGC0001603_ARV75734.1	PF00196.22 PF00486.31
BGC0001619_AKA59095.1	sensor_histidine_kinase	Streptomyces sp. WAC2288	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001619	274790..276058	274790	276058	+	Polyketide	#F4A460					ibomycin	100			tcs	BGC0001619_AKA59096.1	PF00196.22
